,POSITION,LOC_X,LOC_Y,PLAYER_NAME,QUARTER,EVENT_TYPE
5317,PG,69.0,292.0,Rajon Rondo,2,SCORED
5319,PG,166.0,89.0,Rajon Rondo,2,MISSED
5320,PF,82.0,385.0,Nikola Mirotic,2,SCORED
5321,PF,295.0,305.0,Nikola Mirotic,2,MISSED
5322,PF,295.0,280.0,Nikola Mirotic,2,MISSED
5324,PG,87.0,331.0,Rajon Rondo,2,MISSED
5328,SG,220.0,259.0,Dwyane Wade,2,SCORED
5329,PF,279.0,362.0,Nikola Mirotic,2,MISSED
5332,C,234.0,277.0,Robin Lopez,2,SCORED
5333,C,112.0,270.0,Robin Lopez,2,MISSED
5335,SG,128.0,296.0,Jimmy Butler,2,MISSED
5337,C,50.0,136.0,Robin Lopez,2,MISSED
5338,SG,157.0,393.0,Dwyane Wade,2,MISSED
5342,PG,53.0,373.0,Rajon Rondo,2,MISSED
5343,SG,848.0,94.0,Dwyane Wade,3,MISSED
5344,C,878.0,266.0,Robin Lopez,3,MISSED
5346,SG,665.0,153.0,Jimmy Butler,3,SCORED
5347,C,819.0,248.0,Robin Lopez,3,MISSED
5348,SG,802.0,105.0,Dwyane Wade,3,MISSED
5352,SG,773.0,153.0,Jimmy Butler,3,MISSED
5353,SG,824.0,120.0,Jimmy Butler,3,MISSED
5354,PG,887.0,17.0,Rajon Rondo,3,SCORED
5355,C,696.0,262.0,Robin Lopez,3,MISSED
5357,C,873.0,244.0,Robin Lopez,3,MISSED
5360,SG,882.0,272.0,Dwyane Wade,4,MISSED
5362,PF,890.0,382.0,Nikola Mirotic,4,SCORED
5363,SG,848.0,347.0,Dwyane Wade,4,MISSED
5364,PF,858.0,177.0,Nikola Mirotic,4,MISSED
5365,SG,881.0,235.0,Dwyane Wade,4,BLOCKED
5366,SG,711.0,156.0,Dwyane Wade,4,MISSED
5368,PF,878.0,231.0,Nikola Mirotic,4,SCORED
5369,PG,871.0,182.0,Rajon Rondo,4,BLOCKED
5371,SG,804.0,272.0,Jimmy Butler,4,SCORED
5373,PF,887.0,321.0,Nikola Mirotic,4,SCORED
5374,PF,676.0,423.0,Nikola Mirotic,4,MISSED
5375,SG,878.0,338.0,Dwyane Wade,4,MISSED
5378,C,848.0,220.0,Robin Lopez,1,MISSED
5379,SG,779.0,18.0,Jimmy Butler,1,MISSED
5380,C,696.0,228.0,Robin Lopez,1,MISSED
5382,SG,887.0,257.0,Jimmy Butler,1,SCORED
5383,C,878.0,251.0,Robin Lopez,1,SCORED
5384,SG,890.0,324.0,Jimmy Butler,1,BLOCKED
5385,SG,887.0,251.0,Jimmy Butler,1,MISSED
5387,C,686.0,321.0,Robin Lopez,1,MISSED
5391,SG,881.0,256.0,Jimmy Butler,1,SCORED
5393,C,868.0,400.0,Robin Lopez,1,MISSED
5394,C,858.0,213.0,Robin Lopez,1,SCORED
5395,PF,866.0,487.0,Nikola Mirotic,1,SCORED
5396,C,876.0,82.0,Robin Lopez,1,SCORED
5397,PF,890.0,23.0,Nikola Mirotic,1,MISSED
5400,PF,666.0,115.0,Nikola Mirotic,2,MISSED
5402,PF,858.0,398.0,Nikola Mirotic,2,SCORED
5407,PF,661.0,115.0,Nikola Mirotic,2,MISSED
5411,PF,676.0,84.0,Nikola Mirotic,2,MISSED
5412,C,873.0,182.0,Robin Lopez,2,MISSED
5413,SG,735.0,40.0,Jimmy Butler,2,SCORED
5414,SG,719.0,53.0,Jimmy Butler,2,MISSED
5418,C,729.0,331.0,Robin Lopez,2,SCORED
5420,C,82.0,205.0,Robin Lopez,3,MISSED
5426,SG,50.0,244.0,Jimmy Butler,3,SCORED
5427,C,59.0,252.0,Robin Lopez,3,SCORED
5428,C,58.0,265.0,Robin Lopez,3,SCORED
5429,C,182.0,334.0,Robin Lopez,3,SCORED
5430,SG,53.0,246.0,Jimmy Butler,3,MISSED
5437,C,217.0,222.0,Robin Lopez,3,MISSED
5440,SG,79.0,84.0,Jimmy Butler,3,SCORED
5443,PF,82.0,329.0,Nikola Mirotic,4,MISSED
5448,SG,215.0,46.0,Jimmy Butler,4,MISSED
5449,SG,66.0,228.0,Jimmy Butler,4,BLOCKED
5451,C,53.0,251.0,Robin Lopez,4,SCORED
5452,SG,79.0,331.0,Jimmy Butler,4,SCORED
5454,C,77.0,419.0,Robin Lopez,4,MISSED
5455,SG,275.0,341.0,Jimmy Butler,4,MISSED
5456,C,82.0,192.0,Robin Lopez,4,MISSED
5458,SG,74.0,326.0,Jimmy Butler,4,SCORED
5460,SG,305.0,311.0,Jimmy Butler,4,MISSED
5461,SG,878.0,133.0,Jimmy Butler,1,MISSED
5464,SG,838.0,387.0,Jimmy Butler,1,SCORED
5465,C,681.0,222.0,Robin Lopez,1,SCORED
5471,SG,873.0,241.0,Jimmy Butler,1,SCORED
5474,C,858.0,163.0,Robin Lopez,1,MISSED
